participant,session,condition,totalAmountOfMovementP1,totalAmountOfMovementP2
3,27,integration,1.838804134525136,0.849081893760471
3,28,integration,1.948274277842009,0.866454879179771
3,29,integration,1.3691205562133906,1.2826929317346027
3,30,integration,1.7517064776189446,0.922370386621522
3,31,integration,1.7633036640641548,0.7535398786125292
3,32,integration,1.519394601554791,0.984998986135116
3,1,compatibility,1.7143703950323634,1.1882795130971586
3,2,compatibility,1.6517648197341033,0.893403821184414
3,1,post,1.2676597129821692,
3,2,post,1.3690684276543976,
3,3,post,1.1784361263557843,
3,4,post,1.2529777863879237,
3,5,post,1.2115280900445873,
3,6,post,1.2634127103599169,
3,7,post,1.254884369428126,
3,8,post,1.192079656737983,
3,9,post,1.2595461541798414,
3,10,post,1.3755537720813682,
4,1,pre,1.3442374873781993,
4,2,pre,1.3801306279993386,
4,3,pre,1.4526662655471196,
4,4,pre,1.3167892536185453,
4,5,pre,1.331587838819047,
4,6,pre,1.2761566060027691,
4,7,pre,1.2618181422802022,
4,8,pre,1.259539549364813,
4,9,pre,1.322639191780547,
4,10,pre,1.2352582416060742,
4,1,integration,1.1125045307886263,1.895766123958201
4,2,integration,1.153869303742071,1.7778631606743225
4,3,integration,0.9534635684622336,1.891871485293756
4,4,integration,1.529526873070662,1.54522079077228
4,5,integration,1.1011866932777186,1.6524339368697183
4,6,integration,1.100186421848535,1.6311980948684155
4,7,integration,1.3568935315756834,1.534934297510702
4,8,integration,1.2911642286590208,1.4171238085786766
4,9,integration,1.1529841109573729,1.720563887045977
4,10,integration,1.3198982073542775,1.25018237399897
4,11,integration,1.114491999441338,1.4942661492129758
4,12,integration,1.3870717465946836,1.279393858949577
4,13,integration,1.4782146349569767,1.3393657492853683
4,14,integration,1.224664371638519,1.4729475695165537
4,15,integration,1.3222306043836,1.2554023162055987
4,16,integration,1.2303916742499776,1.63656780942986
4,17,integration,1.2709919781671262,1.5436482391752608
4,18,integration,1.5202562463587717,1.3227683778550798
4,19,integration,1.380076267423361,1.5113510966572987
4,20,integration,1.473893237427755,1.6259591704539964
4,21,integration,1.2951250169655104,1.47884643635332
