participant,session,partner,totalAmountOfMovementP1,totalAmountOfMovementP2
6,13,A,1.358479671,1.264687355
6,14,A,1.422651738,1.006043492
6,15,A,1.447987016,1.027185704
6,16,B,1.488253716,1.12118791
6,17,A,1.349547646,1.239686487
6,18,A,1.395576254,1.158983625
6,19,A,1.521670345,1.133285471
6,20,B,1.719385502,0.9102718038
6,21,B,1.64960484,0.8885562183
6,22,B,1.734272376,0.9225574355
6,23,A,1.74512915,1.074190491
6,24,B,1.735868381,0.8373078389
6,25,B,1.786631935,0.7406067521
6,26,A,1.617003434,1.154550708
6,27,A,1.762932683,0.954572575
6,28,B,1.614199322,0.8596845394
6,29,B,1.814956007,0.9784615968
6,30,A,1.521618784,1.017522974
6,31,B,1.813989175,0.7831821867
6,32,B,1.503699757,0.9670995224
7,1,B,1.29715933,1.064516353
7,2,A,1.194663796,1.254772438
7,3,B,1.486292779,0.9608541827
7,4,A,1.347008606,1.026181167
7,5,B,1.389537261,0.8466593722
7,6,A,1.276081903,1.244294623
7,7,A,1.329821489,1.132189556
7,8,B,1.23911609,0.9665082414
7,9,B,1.39469349,0.8894081327
7,10,B,1.448918993,0.7024491369
7,11,A,1.548565628,1.044568581
7,12,B,1.566013523,0.6912208881
7,13,A,1.449983684,1.128368974
7,14,B,1.374282962,0.9124734026
7,15,B,1.50062638,0.8818556062
7,16,A,1.228663802,1.258835168
7,17,B,1.415590094,0.8668603777
7,18,A,1.27264791,1.127686604
7,19,A,1.155034746,1.114956414
7,20,A,1.405779486,1.128633944
7,21,B,1.517812824,0.7042433761
7,22,B,1.528216776,0.7875644627
7,23,B,1.701221547,0.6756387822
7,24,A,1.498642448,0.9913352211
7,25,A,1.483505164,1.330496452
7,26,B,1.607690765,0.8063156666
7,27,A,1.401023569,1.171775654
7,28,B,1.600572655,0.9019960834
7,29,A,1.488918363,1.141886689
7,30,B,1.584041502,1.37841602
7,31,B,1.677240963,1.019543973
7,32,A,1.454861645,1.142613876
8,1,B,1.028919746,1.985008523
8,2,B,0.8098154379,1.55548746
8,3,A,0.9810771146,2.054737067
8,4,B,1.029428415,1.807622807
8,5,B,0.9727933376,1.53112388
8,6,B,1.163115381,1.655183461
8,7,A,0.7237372204,2.019819339
8,8,B,0.9811579094,2.062193726
8,9,A,0.8670952193,2.179536694
8,10,B,0.8325191039,1.726390748
8,11,B,0.9679018717,1.941154361
8,12,B,0.8188071695,1.751904149
8,13,A,0.7392159217,2.093602551
8,14,A,0.7592231788,2.164929606
8,15,A,0.9204640155,2.014260842
8,16,B,0.9746348514,1.598620822
8,17,B,0.9035364795,1.622989961
8,18,A,0.6256173523,1.835172487
8,19,B,0.9728085424,1.702619192
8,20,A,1.092596403,1.893532947
8,21,B,1.211531462,1.787596737
8,22,A,0.8546135921,1.823111767
8,23,B,1.290449981,1.627722223
8,24,A,1.002757023,2.20167356
8,25,A,0.8786283352,2.039085972
8,26,B,1.093458952,1.664601492
8,27,A,0.862535247,1.795085051
8,28,A,0.8861595146,1.864653667
8,29,B,1.138845754,1.827564014
8,30,A,0.7791545292,1.79139654
8,31,B,1.018275699,1.664346839
8,32,A,0.7324170186,1.739097305
9,1,A,0.9356680241,1.834034051
9,2,A,0.9598083959,1.666208453
9,3,A,1.027018624,1.677584984
9,4,B,1.146013488,1.252763598
9,5,B,1.295200507,1.031998635
9,6,A,1.065436496,1.64411549
9,7,A,1.050316844,1.600730065
9,8,B,1.318537363,1.007823657
9,9,B,1.657013281,0.8655676484
9,10,A,1.381900759,1.471769237
9,11,A,1.392423194,1.351496336
9,12,B,1.477690259,0.9029591168
9,13,B,1.45328102,1.074590657
9,14,A,1.236044672,1.522209003
9,15,B,1.479582716,0.9709114758
9,16,B,1.588771017,0.8742077944
9,17,B,1.445368005,0.8782665163
9,18,A,1.387682241,1.275592105
9,19,B,1.641117064,0.7141790565
9,20,B,1.818070779,0.7157434321
9,21,A,1.265486203,1.37907592
9,22,B,1.630081821,0.8026345045
9,23,A,1.270639393,1.406521142
9,24,B,1.768830076,0.6629889883
9,25,B,1.64269954,0.6315259503
9,26,A,1.503231011,1.336238397
9,27,A,1.359838896,1.221986984
9,28,A,1.408678565,1.143330897
9,29,B,1.728722781,0.6633403236
9,30,B,1.674245194,0.6872724717
9,31,B,1.79950788,0.5062081843
9,32,A,1.507458556,1.399731626
10,1,A,1.324225814,1.202878321
10,2,A,1.577014058,0.9924218168
10,3,B,1.74424316,0.8230374133
10,4,B,1.872833121,0.6671225878
10,5,A,1.728845347,1.105648369
10,6,B,1.618433324,0.6181609936
10,7,B,1.603234119,0.8074147941
10,8,B,1.463142481,1.071274177
10,9,A,2.078394387,1.200901983
10,10,B,1.641586162,0.7989101046
10,11,A,1.879485653,0.9883571225
10,12,B,1.740148877,0.6084679181
10,13,B,1.857518592,0.6631530688
10,14,A,1.990394123,0.8061452595
10,15,B,2.018765763,0.6399013904
10,16,A,1.837787407,0.7226587118
10,17,A,1.88745206,0.8821348667
10,18,A,1.841804561,0.8234686435
10,19,B,1.906505644,0.831751923
10,20,A,1.866671771,0.8782575621
10,21,A,1.792969309,0.8800547862
10,22,B,1.961081948,0.5514143775
10,23,B,1.735090524,0.7087356825
10,24,B,1.89771384,0.931697915
10,25,A,1.934438115,0.9356925999
10,26,B,1.575433247,0.7889721838
10,27,A,1.854600845,1.009417244
10,28,A,1.785171744,0.764317432
10,29,B,1.732614024,0.7911006714
10,30,B,1.6787813,0.6689473242
10,31,B,1.5838016,0.8546195653
10,32,A,2.164506151,1.026843584
11,1,A,0.7506528985,1.690428936
11,2,B,0.891206823,1.802818373
11,3,B,0.7858611097,1.586100294
11,4,B,0.7285897141,1.41785239
11,5,A,0.9008953945,1.694686162
11,6,A,0.7956160546,1.798712727
11,7,B,0.8287911692,1.544841268
11,8,A,0.7147060293,1.880216039
11,9,A,0.8476066323,1.772025114
11,10,B,0.9074677145,1.341834058
11,11,A,0.8392878991,1.66785633
11,12,B,0.5375840509,1.738863762
11,13,B,0.7238077294,1.722613061
11,14,A,0.7251912744,2.126043172
11,15,A,0.6562872464,1.809835346
11,16,A,0.7715720719,1.975024682
11,17,B,0.9063692227,1.455809623
11,18,B,0.7891379266,1.589026916
11,19,A,0.7864903704,1.9237351
11,20,A,0.7119351869,1.785610446
11,21,B,0.848262764,1.661605095
11,22,B,0.7355947947,1.65706482
11,23,A,0.6973995211,1.972840878
11,24,B,0.8662587079,1.489383005
11,25,A,0.8476906218,1.681978664
11,26,B,0.8851028609,1.33502373
11,27,B,0.9116937248,1.439744362
11,28,A,0.8288078969,1.755498917
11,29,B,0.6645721639,1.807350654
11,30,B,0.8051566002,1.75334555
11,31,A,0.9702281951,1.930244603
11,32,B,1.11028585,1.724637526
12,1,B,0.9403810607,1.941946238
12,2,A,0.8129237827,1.98985469
12,3,A,0.9952766226,2.003320646
12,4,A,0.9569715722,1.909563359
12,5,B,1.682281889,3.158571025
12,6,A,1.004227315,2.077975025
12,7,A,1.026771582,2.013691051
12,8,A,0.8814295187,1.591845263
12,9,B,0.9058030763,1.889353995
12,10,A,0.8872156386,1.791638503
12,11,B,0.8649683585,1.711883992
12,12,B,0.9469288505,1.566181732
12,13,B,1.043790236,1.912054579
12,14,A,0.9865728692,1.76900154
12,15,B,1.130610621,1.5636102
12,16,B,1.215427723,2.128599851
12,17,A,0.782157733,1.876469993
12,18,B,0.8855901754,1.578634779
12,19,A,1.038680683,1.726727263
12,20,B,0.9280451269,1.438077614
12,21,B,1.033487503,1.952879261
12,22,A,0.6891452247,1.667436652
12,23,B,0.8306017193,1.705912447
12,24,A,0.758585662,1.85012955
12,25,B,0.8140080462,1.502317226
12,26,A,0.9694555706,1.763700413
12,27,B,0.9310481716,1.541170547
12,28,A,0.9063585871,1.765641579
12,29,B,0.9936400209,1.361446353
12,30,A,0.6865658499,1.805592382
12,31,B,0.7747671518,1.677525904
12,32,B,0.9021733248,1.59402799
13,1,B,0.9859790822,2.039578068
13,2,B,0.7004179083,1.810586691
13,3,A,0.8701213857,1.839988298
13,4,B,1.015480268,1.629302552
13,5,A,0.9763739026,1.720788361
13,6,B,0.8102610609,1.703654804
13,7,A,0.8792966329,1.812247396
13,8,B,0.9113484414,2.009908088
13,9,A,0.9684713076,1.83704751
13,10,A,1.195885842,1.509537233
13,11,B,1.004567786,1.729266137
13,12,B,1.189006419,1.757014493
13,13,A,1.174774224,1.764601257
13,14,B,1.153336794,1.572010244
13,15,A,1.397878328,1.279994743
13,16,B,1.116490889,2.237469065
13,17,A,1.107353218,1.675020597
13,18,B,1.03135305,1.517346036
13,19,A,1.207082666,1.331228547
13,20,A,1.372922943,1.263666293
13,21,B,1.451581485,1.25563079
13,22,B,1.320895742,1.688640124
13,23,A,1.127256836,1.429837489
13,24,B,1.274080117,1.498703031
13,25,B,1.415089505,1.398695232
13,26,A,1.223855789,1.458382183
13,27,B,1.178886296,1.531439149
13,28,A,1.307988266,1.493489805
13,29,B,1.352783206,1.260736727
13,30,A,1.318592016,1.434843547
13,31,A,1.497837421,1.305449989
13,32,B,1.237610058,1.562006991
